date,symbol,volume,transaction,open,high,low,close
2025-12-26,2880,53905017,12305,31.8,32.45,31.45,32.35
2025-12-26,2891,50917330,41396,50.3,50.3,49.45,49.8
2025-12-29,3481,370742766,56492,14.1,14.85,13.95,14.85
2025-12-29,2409,205806258,32836,11.5,12.2,11.5,11.8
2025-12-29,1605,201436815,96734,34.55,34.85,32.15,32.3
2025-12-29,2344,166636334,88443,76.9,77.9,75.6,76.9
2025-12-29,00990A,158776466,25722,10.68,10.7,10.5,10.51
2025-12-29,6770,155446006,68969,40.45,40.65,39.2,39.65
2025-12-29,1802,143128183,58246,35.75,36.75,35.5,36.1
2025-12-29,00981A,109521060,25158,16.84,16.89,16.72,16.82
2025-12-29,8422,91935053,32009,27.3,29.3,27.2,29.3
2025-12-29,2887,90279550,33018,20.6,20.8,20.2,20.4
2025-12-29,00991A,87579745,13249,10.43,10.43,10.34,10.36
2025-12-29,0050,86510015,63528,64.65,65.35,64.6,65.25
2025-12-29,00878,83460652,24621,21.57,21.77,21.55,21.73
2025-12-29,00919,75939031,19952,22.48,22.57,22.41,22.49
2025-12-29,2408,72720023,63246,189.5,191.0,184.5,188.5
2025-12-29,2337,72378487,36512,39.2,39.3,38.0,38.15
2025-12-29,2449,63582297,61999,234.0,245.0,227.0,245.0
2025-12-29,2329,62295786,33671,58.0,59.0,54.3,56.0
2025-12-29,1303,60874354,31567,58.2,60.3,58.1,58.7
2025-12-29,2002,60243510,19867,18.9,19.4,18.9,19.1
2025-12-30,3481,882082683,147281,15.3,16.3,14.9,16.3
2025-12-30,2344,405326803,197872,77.2,84.4,77.2,83.7
2025-12-30,00992A,244368448,34476,10.24,10.4,10.24,10.38
2025-12-30,6770,210185132,80590,39.7,41.1,39.5,40.25
2025-12-30,2409,193408988,31826,11.75,12.15,11.6,12.05
2025-12-30,8422,155858547,59597,29.45,30.5,29.1,30.1
2025-12-30,2408,152110265,107014,189.0,200.0,189.0,194.5
2025-12-30,00990A,105661432,23397,10.39,10.42,10.25,10.3
2025-12-30,2337,97670400,38064,38.25,39.5,38.25,38.75
2025-12-30,1528,92183330,40739,22.45,23.65,21.7,23.1
2025-12-30,6282,90594588,50037,42.0,43.8,41.9,42.8
2025-12-30,00991A,74982889,10510,10.32,10.4,10.29,10.39
2025-12-30,2353,71342116,27478,25.3,27.1,25.0,26.7
2025-12-30,00981A,70969036,19394,16.77,16.87,16.69,16.83
2025-12-30,1605,70250984,31215,31.95,32.3,31.35,31.75
2025-12-30,0050,61058197,54458,64.9,65.3,64.75,65.15
2025-12-30,2884,60570093,26035,33.55,34.15,33.2,33.85
2025-12-30,4989,59616542,29600,52.9,53.9,50.4,51.3
2025-12-30,1802,57373586,28540,35.2,35.4,34.5,35.05
2025-12-30,2449,52967198,59620,245.0,250.5,240.5,243.5
2025-12-31,3481,932979502,207467,16.7,17.75,16.5,17.05
2025-12-31,2344,340682906,171695,84.1,86.5,82.2,82.6
2025-12-31,2337,257961788,107484,39.15,42.25,39.15,39.45
2025-12-31,2409,222138081,37468,12.05,12.8,12.05,12.25
2025-12-31,6770,194157015,79367,40.8,41.3,39.55,39.55
2025-12-31,8422,190871844,70499,29.9,33.1,29.6,31.6
2025-12-31,00992A,175585495,24577,10.46,10.52,10.39,10.43
2025-12-31,2408,115478826,69855,196.5,201.0,189.5,193.0
2025-12-31,1303,90915325,44213,58.4,61.3,56.8,60.2
2025-12-31,00981A,89140028,19968,16.88,16.98,16.84,16.91
2025-12-31,1605,75139115,29800,32.8,33.1,31.8,31.8
2025-12-31,00990A,73102147,17124,10.25,10.26,10.21,10.21
2025-12-31,00991A,72101369,11119,10.45,10.51,10.42,10.47
2025-12-31,0050,71868485,52512,65.1,65.85,64.9,65.6
2025-12-31,3715,69746867,46667,121.5,132.5,120.5,127.5
2025-12-31,00987A,64127212,10544,10.09,10.19,10.08,10.11
2025-12-31,2449,63445168,66457,246.0,261.5,244.0,247.5
2025-12-31,0052,62432257,20957,37.31,37.97,37.29,37.89
2025-12-31,6282,60986528,38010,43.45,44.9,42.1,42.3
2025-12-31,2884,59988389,24494,33.85,34.05,33.4,33.75
2026-01-02,3481,788088302,183005,16.95,18.5,16.2,18.1
2026-01-02,2344,414793767,196629,83.1,90.8,82.1,90.8
2026-01-02,6770,352857727,143256,39.85,42.2,39.3,42.1
